Reference, Quantity, Value, Footprint, Datasheet, Description, Digi-Key_PN, Category, DK_Datasheet_Link, DK_Detail_Page, Family, MPN, Manufacturer, Status
C1 C2 ,2,"10uf","Capacitor_SMD:C_0805_2012Metric","~","CAP CER 10UF 16V X5R 0805","445-7644-1-ND","","","","","","",""
H1 H2 H3 H4 ,4,"MountingHole","lib:MountingHole_2.7mm_M2.5_uHAT_RPi","~"
J1 ,1,"GPIO_CONNECTOR","lib:PinSocket_2x20_P2.54mm_Vertical_Centered_Anchor","~"
J11 J10 J9 J7 ,4,"S2B-PH-K-S_LF__SN_","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","CONN HEADER R/A 2POS 2MM","455-1719-ND","Connectors, Interconnects","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","/product-detail/en/jst-sales-america-inc/S2B-PH-K-S(LF)(SN)/455-1719-ND/926626","Rectangular Connectors - Headers, Male Pins","S2B-PH-K-S(LF)(SN)","JST Sales America Inc.","Active"
J2 ,1,"1935161","digikey-footprints:Terminal_Block_D1.3mm_P5mm","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf","TERM BLK 2POS SIDE ENTRY 5MM PCB","277-1667-ND","Connectors, Interconnects","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf","/product-detail/en/phoenix-contact/1935161/277-1667-ND/568614","Terminal Blocks - Wire to Board","1935161","Phoenix Contact","Active"
J3 J4 J5 ,3,"B4B-PH-K-S_LF__SN_","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","CONN HEADER VERT 4POS 2MM","455-1706-ND","Connectors, Interconnects","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","/product-detail/en/jst-sales-america-inc/B4B-PH-K-S(LF)(SN)/455-1706-ND/926613","Rectangular Connectors - Headers, Male Pins","B4B-PH-K-S(LF)(SN)","JST Sales America Inc.","Active"
J6 ,1,"B6B-PH-K-S_LF__SN_","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","CONN HEADER VERT 6POS 2MM","455-1708-ND","Connectors, Interconnects","http://www.jst-mfg.com/product/pdf/eng/ePH.pdf","/product-detail/en/jst-sales-america-inc/B4B-PH-K-S(LF)(SN)/455-1706-ND/926613","Rectangular Connectors - Headers, Male Pins","B6B-PH-K-S(LF)(SN)","JST Sales America Inc.","Active"
J8 ,1,"TI ADS1115 Breakout","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
Q1 ,1,"DMG2305UX-13","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/DMG2305UX.pdf","MOSFET P-CH 20V 4.2A SOT23","DMG2305UX-13DICT-ND","Discrete Semiconductor Products","https://www.diodes.com/assets/Datasheets/DMG2305UX.pdf","/product-detail/en/diodes-incorporated/DMG2305UX-13/DMG2305UX-13DICT-ND/4251589","Transistors - FETs, MOSFETs - Single","DMG2305UX-13","Diodes Incorporated","Active"
Q2 ,1,"DMMT5401","Package_TO_SOT_SMD:SOT-23-6","","TRANS 2PNP 150V 0.2A SOT26","DMMT5401-FDICT-ND","","","","","","",""
R1 R9 ,2,"10K","Resistor_SMD:R_0805_2012Metric","~","RES 10K OHM 0.5% 1/8W 0805","RNCF0805DTE10K0CT-ND","","","","","","",""
R2 ,1,"47K","Resistor_SMD:R_0805_2012Metric","~","RES 47K OHM 0.5% 1/8W 0805","RNCF0805DTE47K0CT-ND","","","","","","",""
R3 R5 R7 ,3,"3k","Resistor_SMD:R_0805_2012Metric","~","RES 3K OHM 0.5% 1/8W 0805","RNCF0805DTE3K00CT-ND","","","","","","",""
R4 R6 R8 ,3,"3.9k","Resistor_SMD:R_0805_2012Metric","~","RES 3.9K OHM 0.5% 1/8W 0805","RNCF0805DTE3K90CT-ND","","","","","","",""
U1 ,1,"LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.fairchildsemi.com/ds/LM/LM7805.pdf","IC REG LINEAR 5V 1A TO220-3","296-47192-ND","","","","","","",""
U2 ,1,"CAT24C32","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.onsemi.com/pub/Collateral/CAT24C128-D.PDF","IC EEPROM 32K I2C 1MHZ 8SOIC","CAT24C32WI-GT3CT-ND","","","","","","",""